Length,audio_name,Transcript,negative_count,positive_count,negative_positions,positive_positions,Senti,Negative_Frame_Sentiments,Positive_Frame_Sentiments
24.79,42.wav,یار سیون کی بات کریں تو پینے میں تو مزہ اتا ہے لیکن اس کے نقصانات بھی بہت ہیں تو ہم نے اس کے نقصانات کو مدنظر رکھتے ہوئے اس چیز کو اوائڈ کرنا چاہیے ہمیں اور اس بارے میں ہمیں سیریس ہونا چاہیے کیونکہ اپنی ہیلتھ میں کمپرومائز نہیں کرنا چاہیے سو ڈیٹس وائی ائی ریکمنڈ یو ڈے ڈونٹ یوز تھینک یو,7,2,"[5, 6, 8, 10, 12, 13, 20]","[4, 22]",2,"[0, 0, 0, 0, 0, 0, 0]","[0, 0]"
26.07,43.wav,پیپسی جو ہے نا وہ بہت اچھی چیز ہے جب اپ کھانا کھا لیتے ہو اور اپ کی مہینے میں تھوڑا پشتو کھانا جو ہے تھوڑا بوجھ بن جاتا ہے تو میرے خیال سے پیپسی جو ہے وہ بیسٹ ہے کیونکہ وہ جو ہے اپ کے مہینے میں تھوڑا ڈائجیشن اپ کی معاہدہ جو ہے تھوڑا ہلکا ہوجاتا ہے اس سے تو میں اپ کو پیپسی جو ہے وہ ریکمنڈ کرتا ہوں,2,4,"[3, 19]","[3, 14, 21, 25]",1,"[0, 0]","[0, 0, 0, 1]"
26.07,44.wav,پیپسی جو ہے نا وہ بہت اچھی چیز ہے جب اپ کھانا کھا لیتے ہو اور اپ کی مہینے میں تھوڑا پشتو کھانا جو ہے تھوڑا بوجھ بن جاتا ہے تو میرے خیال سے پیپسی جو ہے وہ بیسٹ ہے کیونکہ وہ جو ہے اپ کے مہینے میں تھوڑا ڈائجیشن اپ کی معاہدہ جو ہے تھوڑا ہلکا ہوجاتا ہے اس سے تو میں اپ کو پیپسی جو ہے وہ ریکمنڈ کرتا ہوں,2,4,"[3, 19]","[3, 14, 21, 25]",1,"[0, 0]","[0, 0, 0, 1]"
21.14,45.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو سیون اپ کا ایک ریویو دوں گا تو بہت مزے کی ہوتی ہے میں پیتا ہوں وہ سب پیتے ہیں اور ہر جگہ ریڈلی اویلیبل ہے اور یہ چیز بھی ہے سو میں اس کو جو ہے نائن اؤٹ اف 10 ڈیٹ کریں,1,1,[16],[14],1,[0],[1]
15.6,46.wav,میں نے لائک کرتا ہوں یہ میرے پسندیدہ ہے اس لئے یہ ساروں کو لائک کرنی چاہیے اس کے بہت اور بھی فلیگ فلیور ہے تو اپ بھی یہ ٹرائی کریں یہ بہت اچھے لے جائیں,0,3,[],"[3, 13, 15]",1,[],"[0, 0, 1]"
25.02,47.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں پیپسی کا اپ کو ایک ویڈیو دکھاؤں سو پیپسی جو ہے بہت مزے کا گرائنڈ ہے اور میں اس کو بہت اچھا ریٹ کروں گا اور پیپسی جو ہے ہر جگہ اپ کو ملتی ہے اور بہت چیف بھی ہے تو اپ اس کو ضرور لیجئے گا اور جو ہے بہت اچھا برانڈ ہے اور اگر اپ میرے سے اس کی ریٹنگ مانگے تو میں اس کو 10 اؤٹ اف سوری یہ اؤٹ اف 10 ریٹ کرنا چاہتا ہوں,0,2,[],"[9, 17]",1,[],"[0, 0]"
17.9,48.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں لیس کے بارے میں اپ کو بتاؤں تو لیز ایک چپس برانڈ ہے جو بہت مزے کا ہے ہر جگہ اویلیبل ہوتا ہے اور میں بھی کھاتا ہوں اور سب لوگ کھاتے ہیں اور یہ چیف بھی ہے بہت,0,1,[],[11],1,[],[0]
30.21,49.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو ایک شارٹ ریویو دوں گا 7 8 کا سیون اپ ایک بہت مزے کی ڈرنک ہے لیکن اس کا ایک ڈس ایڈوانٹیج بھی ہے اس کو جتنا زیادہ کنزیوم کرتے ہیں اور دیر سے ہم کنزیوم کر رہے ہیں تو یہ اس کا ہماری سیٹ پہ بہت ہارم فوڈ ایفیکٹ ہے سوئی ریٹ کروں گا کہ یہ ہمارے پے ایک فارمولے اس کا ہماری باڈی کے اوپر,6,3,"[11, 12, 15, 17, 18, 23]","[15, 18, 30]",2,"[0, 0, 0, 0, 0, 9]","[0, 0, 1]"
20.63,50.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں سیون اپ کا ایک سالٹ ریویو دوں گا سو ایک بہت مزے کی فضیلت ہے کہ اس کو میں بہت شوق سے کرتا ہوں اور میرے فرینڈز بہت شوق سے پیتے ہیں اور یہ ہر جگہ اپ کو اویلیبل ہوتی ہے اور اس کی پرائس بھی کم ہے اور میں بھی بہت مزے کا,1,3,[18],"[10, 12, 16]",1,[0],"[0, 0, 1]"
39.1,51.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو سیونت کا ایک شارٹ ریلیو دوں گا سو سیون اپ ایک بہت مزے کی فضیلت پینٹ ہے سب ٹھیک ہے میں بھی پیتا ہوں اور یہاں پر ایک مسئلہ اتا ہے کہ ابھی جو ہے نہ سیون اپ جو پیپسی کو ہے انہوں نے اپنی پرائسز بہت انکریز کرنی ہے تو جس کی وجہ سے جو ہے عام ادمی جو ہے وہ افورڈ نہیں کر سکتا اور جو پرائس ہے وہ زیادہ ہے اور کوانٹیٹی جو ہے وہ بہت کم کرتی ہے مطلب ماڈلز کا سائز چھوٹا کر دیا ہے سو اس لیے سیمنٹ کو میں ابھی اگر ریٹنگ تو 600,7,1,"[14, 16, 24, 26, 29, 32, 34]",[10],2,"[0, 0, 0, 0, 0, 0, 0]",[0]
20.65,52.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو تھوڑا سا شورٹ ریویو دوں گا پیپسی کے پیپسی ایک بہت اچھی کمپنی ہے اور پیپسی ایک بہت اچھی کولا ڈریس جو ہے وہ ہے اور اس کو بہت زیادہ پیتے ہیں لوگ اور بہت ٹیسٹی ہوتی ہے مزے کی ہوتی ہے,2,2,"[16, 18]","[9, 12]",1,"[0, 0]","[0, 1]"
38.85,53.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں اپ کو پیپسی کا ایک شارٹ ریویو دوں گا تو دراصل پیپسی ایک بہت اچھی ایک ڈرنک ہے بٹ ان دی ادر ہینڈ اس کا ایک جو ہے ڈس ایڈوانٹیج ہے پیپسی کو کنزیوم کرنے کو واٹ از ایڈوانٹیج یہ ہے کہ پیپسی جو ہے اپ کے جو جسم ہے اس کو ڈیمج کرتی ہے ایک ایگزیمپل تھی کہ گوشت کا ٹکڑا جو تھا وہ پیپسی میں ڈالا گیا اگلے دن جب دیکھا گیا تو وہ پوری طرح سے خراب ہو چکا ہے اپ کے لئے سو اپ کو پیپسی کو نہیں کنزیوم کرنا چاہیے,4,3,"[14, 23, 33, 38]","[9, 16, 38]",2,"[0, 0, 0, 9]","[0, 0, 0]"
34.75,54.wav,السلام علیکم میرا نام مرتضی ہے اور اج میں لیس کا ایک شارٹ سا ویڈیو ڈھونڈو تو لیز جو ہے بیسیکلی بہت اچھا برانڈ ہے اور ان کی چپ سی بہت اچھے ہوتے ہیں بٹ اور تو پیسے اف ٹائم ان کی جو ہے کوانٹیٹی ود دا پرائس اف وتھ پرائس مطلب پرائس ٹو کونٹی ریشو جو ہے نا وہ بہت کم ہو رہا ہے یعنی پرائز بہت زیادہ ہو رہی ہے اور کوانٹیٹی جو ہے وہ بہت لیس ہو رہی ہے تو اس لیے جو ہے لیز جو ہے اس کو میں کہوں گا کہ ابھی کے ٹائم پر جو ہے اس کو میں ایک طرح سے نیوٹرل ریٹ کرنا ہے,2,2,"[19, 21]","[7, 10]",0,"[0, 0]","[0, 0]"
29.08,55.wav,السلام علیکم میرا نام محمد حسین جہانگیر ہے اور میں اج اس پروڈکٹ ریویو کرنے جا رہا ہوں وہ ہے لسٹ تو لیز اکثر لوگ کے بارے میں نہیں ہے کچھ لوگ جو ہیں وہ لیز کو اچھا کنسیڈر نہیں تھے کچھ نہیں بھی کرتی ہے اکثر اچھا کنسیڈر مطلب پی جانے کے بعد مسئلہ بھی میں کہہ سکتا ہوں کہ لوگ موویز کے دوران دیکھتے ہیں اکثر بات باہر سے تھینک یو,4,2,"[12, 16, 17, 22]","[15, 19]",0,"[0, 0, 0, 0]","[0, 1]"
23.53,56.wav,السلام علیکم میری بہن میرا نام ہے حسن جہانگیر ہے اور اج اس کو اٹک ربیع ہے وہ ہے ویکسین تو پیپسی کے بارے میں نیگیٹیو ویوز کی کیسی طور پر پوزیٹیو ہیں کیونکہ لوگوں کا پیپسی اکثر نہیں بھی پیتے کیونکہ یہ خطرناک ہوتی ہے ڈائبیٹیز ایشو لگاتے ہیں اس کے حملے کی بھی ا سکتے ہیں اور لوگ,5,2,"[10, 15, 17, 18, 21]","[1, 13]",2,"[0, 0, 0, 0, 0]","[0, 0]"
45.27,57.wav,السلام علیکم اج ہم لیس کلاسک چپس کے بارے میں بات کریں گے اج ہم اس کی نیچرل تجزیات کے بارے میں گفتگو کرنے جا رہے ہیں چلیے شروع کرتے ہیں لیس کلاسک شپ اسٹے سمپل اور یونیک ہے اس کا اس میں اس کے ٹیسٹ میں کچھ خاص انفارمیشن نہیں ہے لیکن اس کے سمپلی سیٹی بھی کچھ لوگوں کو کافی پسند اتی ہے جس کی وجہ سے لوگ کافی اس کو پسند کرتے ہیں اور کھاتے ہیں یہ ایک اپنی سمپلی سیٹی کی وجہ سے ایک بہترین اسنیک اپشن کے طور پر استعمال ہوتا ہے یہ سمپل اور کریس چیف ہے چیپس ہے اس کو لوگ کافی حد تک پسند کرتے ہیں اور اپنی اس کی پیکنگ بھی صحیح ہے اور اس میں فریشنس بھی برقرار رہتی ہے جس کی وجہ سے بہترین اسنیک اپشن ہے,5,12,"[1, 5, 17, 17, 36]","[12, 20, 21, 23, 24, 29, 36, 37, 40, 41, 42, 44]",1,"[0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 1]"
26.37,58.wav,السلام علیکم ایوری ون میرا نام محمد حسن جہانگیر ہے اور اج اس کو ارڈر کا ریویو کرنے جا رہا ہے وہ ہے 7:00 تو 7 کے بارے میں میرا کوئی اتنا فاسٹ ریڈیو نہیں ہے کیونکہ اکثر اوقات لوگ اس کو پسند بھی کرتے ہیں اور کچھ لوگ نہیں بھی پسند کرتے کیونکہ ناپسند کرنے کی وجہ یہ ہے کہ لوگ مطلب اس کا ٹیسٹ نہیں اچھا ہوتا اور یہ مطلب پسند کرنے کے لئے یہ بھی ہوتی ہے کیپسول کبھی کبھار لوگ ہیں تو میں اس کے بارے میں,4,4,"[10, 14, 16, 19]","[12, 15, 20, 21]",0,"[0, 0, 0, 0]","[0, 1, 0, 1]"
28.48,59.wav,السلام علیکم ایوری ون میرا نام محمد سمی جہانی ہے راجس کوارٹر کا ریویو ہے وہ ہے 7 8 ہے اور سیون اپ کے بارے میں میرا کوئی اتنا اچھا ائیڈیا نہیں میرا اکثر ایکسپیرینس تیرا کیوں کہ سیون اپ جو ہے ٹیسٹ پرائز جو ہے وہ اچھی نہیں ہے اور مطلب یہ بہت سے ان ہجری چیزوں میں ا سکتی ہے اور یہ مطلب باڈی میں بول کے ان مطلب,2,2,"[13, 20]","[12, 19]",2,"[0, 0]","[0, 1]"
26.11,60.wav,السلام علیکم میری بہن میرا نام احمد پریشانی ہے اور اس کو ارڈر پریویو کرنے جا رہا ہوں تو ویب سی کے بارے میں زیادہ لوگوں کے بارے میں نیگیٹیو ریویوز ہیں مطلب نہیں سمجھا جاتا اچھا اس کو کیوں کہ مارکیٹ میں کیونکہ یہ اکثر شارٹ ویڈیوز میں دیکھا گیا تھا کہ پیپسی جو ہوتی ہے وہ رسٹ اتارنے کے لیے یوز ہوتی ہے اور ایسی مطلب بہت سی خطرناک چیزوں کے لیے پیپسی کا استعمال کیا جاتا ہے اور وہی ہمارے بارے میں,6,2,"[2, 8, 9, 10, 18, 22]","[1, 11]",2,"[0, 0, 0, 0, 0, 0]","[0, 0]"
24.23,61.wav,تو لسٹ کے بارے میں میرا نہیں خیال کہ یہ لوگوں کو کھانا چاہیے کیونکہ اج کل اپ کو دیکھنا چاہیے کیونکہ بہت سی بیماریاں جو ہوتی ہیں وہ لے اس وجہ سے میں اپ کا معدہ خراب ہے اپ کی طبیعت وغیرہ,3,0,"[4, 14, 21]",[],2,"[0, 0, 0]",[]
29.65,62.wav,تو سیون از ا گڈ پروڈکٹ یہ ایک موسٹلی لوگوں سے سنایا تھا یہ چیزوں کو ہضم کرتا ہے مطلب اپ کی مطلب اکثر اوقات کسی کی مطلب طبیعت وغیرہ بھی ہم لوگ پی جاتے ہیں,1,0,[26],[],1,[0],[]
25.54,63.wav,السلام علیکم ایوری ون میرا نام محمد سمیت حمیر ہے اور اج اس کو ارڈر کا ریویو کرنے جا رہا ہوں وہ ہے پیپسی تو پیپسی کے بارے میں یہی سنے لوگوں کا یہ بہت ہی بیسٹ کنسیڈر کی جاتی ہے ان مارکیٹ میں اور اکثر کھانے کے اوقات میں زیادہ پیپسی کو کنسیڈر کیے جاتے ہیں کیونکہ اس کا ٹیسٹ ہوتا ہے اینڈ اکثر کار لوگ موویز کے دوران تقسیم وغیرہ,2,1,"[18, 25]",[13],1,"[0, 0]",[0]
33.28,64.wav,السلام علیکم میں ہوں سیون اپ کی وجوہات اور روحانی اور چھائیاں بتاؤں گی کچھ لوگ پسند کرتے ہیں اور کچھ لوگ میری پسند کرتے ہیں ان کے ٹیسٹ پر بتائے تھے ان کو کیا پسند ہے اور جانی ہر کسی کو پسند نہیں ہوتی اس کو قبول کرتی ہے تو اس کے پیچھے وجوہات تو نہیں اتے اس وجہ سے نہیں پیتے ہیں نہیں پیتے تو کریں اپ کی مرضی ہے جس کو پسند ہے وہ,5,7,"[19, 23, 25, 27, 28]","[4, 7, 10, 10, 16, 19, 32]",0,"[0, 9, 0, 0, 0]","[0, 0, 0, 0, 0, 0]"
51.11,65.wav,السلام علیکم میں اج اپ کی تفصیلی بات سیون اپ کے بارے میں بتاؤں گی مجھے پسند نہیں ہے سیون اپ اور اس کی وجوہات یہ ہے کہ ہر ٹیسٹ بھی پیسہ نہیں رہا جیسے پہلے تھا ملاوٹ کرنے لگے ہیں فیک پروڈکٹس اور کیمیکل والے پروڈکٹس یوز کرنے لگے ہیں پلیز سیون اپ والے اس وجہ سے لوگ اس کی پرائس بھی بہت زیادہ ہوگئی ہے اور اس وجہ سے لوگ جیتے بھی نہیں ہیں تو اور بھی چیزیں ہیں جو اس کو کمپلیٹ کر رہے ہیں پیپسی 7 کوکا کولا اور اس کو کمپلیٹ کریں اس کو اگر پروڈکٹ زیادہ ہو سکتے ہیں ریکمنڈ کرتے ہیں,10,3,"[9, 16, 18, 20, 21, 31, 35, 40, 45, 48]","[8, 17, 50]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]"
25.11,66.wav,السلام علیکم میں دیکھو سیون اپ کے بارے میں بتانا ہے بہت دفعہ میں نے یوز کیا ہے بہت اچھا بولا تھا ہم اس کو استعمال کرتے ہیں ویسے تمہیں خالی نہیں ملتی نہیں کرتی یا سیون میں نے ہم جب بھی گھر اتے ہیں گھر میں منگاتے ہیں ٹیکسی بہت زیادہ اچھی ہوتی ہے,7,2,"[6, 11, 14, 15, 16, 18, 24]","[9, 24]",1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0]"
47.03,67.wav,السلام علیکم میں اج اپ کو پیپسی کے بارے میں بتاؤں گی تفصیل لوگوں کے لیے فائدے مند بھی ہے اور نقصان نہیں ہے دونوں چیزیں ہوتی ہیں ہر چیز میں فائدہ اور نقصان ہے اگر اپ دیکھیں تو جب مجھے بچوں کے لئے نقصان دہ ہے اور بوڑھوں کے لئے بھی ہے مگر ان میں کئی طریقوں میں نقصان دینی ہے اگر اپ دیکھیں اس کے فائدے ہم بیان کرتے ہیں کہ جب اپ کھانا زیادہ کھا لیتے ہم چل نہیں پا رہے ہوتے تو ہمیں تفصیل ٹھیک ہے ہم اپنا کھانا ڈائجسٹ کر سکتے ہیں اور اس لئے اس کے نقصان یہ ہے کہ جب بچے پیتے ہیں تو ان کی ہڈیاں کمزور ہو جاتی ہے جن کی وجہ سے روز نہیں ہوتی ہے اس لئے تفصیل بچوں کا نہیں ہونا چاہیے,15,2,"[8, 8, 11, 12, 16, 21, 24, 27, 28, 29, 32, 36, 40, 44, 46]","[11, 31]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
45.48,68.wav,السلام علیکم اج ہم لیز مصالحہ چیف کی تفصیل سے گفتگو کرنے جارہے ہیں اس ویڈیو میں انگریز مسالہ چپس کی تاریخ پر بات کریں گے تو چلیے شروع کرتے ہیں پلیز مثالیں چپس ایک دم لاجواب ہیں ان کا مصالحے دار اور چٹپٹا ذائقہ ان کو سب سے بہتر بناتا ہے جب اپ ان کو کھاتے ہیں تو ان کا کرسپی ٹیکسچر اور مزے دار ذائقہ اپ کو بے شمار خوشی دیتا ہے لیز مسالہ سے اسنیکس کی ایک اسنیکس کے لئے ایک اعلی انتخاب ہے جن کا لفظ اپ اپنے گھر والوں اور دوستوں کے ساتھ لے سکتے ہیں ان کا معیار اور تازگی انہیں اور بھی بہتر بناتے ہیں پلیز مثالہ چپس مزے دار ذائقہ کے ساتھ زندگی کو رنگین بناتے ہیں,1,10,[1],"[7, 13, 18, 26, 28, 31, 38, 39, 40, 45]",1,[0],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40.75,69.wav,السلام علیکم میں اج اپ کو پیپسی کے بارے میں بتاؤں گی تب سے کی خامیاں میں اپ کو بتاتی ہوں کہ مجھے الگ سے پسند نہیں ہے تو اس وجہ سے تبصرے کی وجہ سے اج کل کے جو جنریشن لائن چھوٹے بچے ہیں ان کو بہت پسند ہے مگر یہ نہیں پتا کہ ان کے لیے فائدے مند نہیں ہے یہ جو لوگ پیتے ہیں پیپسی ان کی ہڈیاں کمزور ہو جاتی ہے ایسے کیمیکلز ملائے ہوتے ہیں جو اپ کی ہڈیوں کو کمزور بنا لیتا ہے چھوٹے بچوں کو تو بالکل بھی نہیں پینی چاہیے اور تو بورے اردو تھوڑی دیر ہونی چاہیے مجھے نہیں لگتا کہ پیپسی میں پینی چاہیے کیونکہ وہ ہمارے لئے ہماری صحت کے لئے اچھی نہیں ہے,11,3,"[5, 9, 17, 20, 23, 28, 31, 31, 34, 35, 40]","[8, 16, 40]",2,"[0, 0, 0, 0, 0, 0, 0, 9, 0, 0]","[0, 0, 0]"
27.84,70.wav,السلام علیکم میں اج اپ کو پبگ کے بارے میں بتاؤں گی تب سے اچھی چیز ہے اور اس کو لوگ شوق سے پیتے ہیں شادی وغیرہ اور جب انجوائے کر رہے ہوتے ہیں تو اپنے دوستوں کے ساتھ تب وہ چیزیں ہیں اور اس کے فائدے دودھ دیں گے جب اپ زیادہ کھانا کھا لیتے ہیں تو اپ کو ڈائجسٹ کرنے میں کام اتی ہے اپ کو وائرلیس کرا دیتی ہے اور,4,3,"[6, 20, 24, 26]","[6, 8, 11]",1,"[0, 0, 0, 0]","[0, 0, 0]"
43.22,71.wav,السلام علیکم میں جب پولیس کے بارے میں بتاؤں گی پلیز اچھے بھی ہوتے ہیں اور برے بھی ہوتے ہیں ہر کسی کے لئے اچھے نہیں ہوتے اور نہ ہر کسی کے لئے برے ہوتے ہیں ہر کسی کا اپنا ٹیسٹ ہوتا ہے وہ اپنے مطابق کھاتا ہے تو اس وجہ سے ہر کسی کو پسند نہیں اتے اور نہ کسی کو برا لگتا ہے مطلب کہ ایک دفعہ ہم پہلے ہوئے تھے تو میں چہرے کے لیے ہم انگریزوں والے میں تو ان کے دل نہیں مجھے پسند نہیں ہے تو اسی وجہ سے کہ ہر کسی کا ٹیسٹ اور بہت ہی اچھا اس کی نہ کرنے کی وجہ یہ ہوگی کہ وہ پہلے کھاتی ہو گی کھاتی تھی پہلے اور اب اس کو پسند نہیں رہے کیونکہ ہم نے جو پیکیجنگ وغیرہ ہو تو دونوں میں اسٹارٹ کر دیے ہیں اس وجہ سے انہوں نے اس کا دل اٹھ گیا,15,8,"[5, 7, 8, 10, 16, 17, 18, 20, 20, 22, 25, 26, 30, 36, 37]","[3, 7, 16, 24, 25, 30, 36, 43]",2,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]"
34.77,72.wav,السلام علیکم میرا نام عاقلین صدیق ہے اور میں اج اپ کو لیز کے بارے میں بتاؤں گی میں لیز بہت شوق سے کھاتی ہوں اور مجھے بہت پسند ہے جب بھی ہم یہ گھر والے اور ہم مووی دیکھنے لگ جاتے دیکھنے لگے لگتے ہیں تو ہم ساتھ لیز کا پیکج وغیرہ اور ساتھ لے لیتے ہیں تو ہم بہت انجوائے کرتے ہیں لیز کی خاصیت ہے کہ وہ بالکل حارث المون سے بنا ہوتا ہے اور فیکٹری میں جو بناتے ہیں پیکنگ میں بہت اچھی لگتی ہے تو پلے,5,5,"[13, 15, 18, 23, 27]","[8, 11, 24, 26, 33]",1,"[0, 0, 0, 9, 0]","[0, 0, 0, 0, 0]"
45.44,73.wav,السلام علیکم میں جب کو لیٹ کے بارے میں بتاؤں گی اس کی اور خامیاں بھی ہیں اج اپ کو میں حامیوں کے بارے میں بتاؤں گی پلیز جو پکچر میں بنتے ہیں پہلے جب بنائے جاتے تھے تو اب بہت اچھی پیکجنگ ہوتی تھی اور ان کے بارے میں ساری وہ چیزیں خالص چیزیں ہیں اور حلال چیزیں استعمال کرتے تھے حلال تو ابھی بھی کرتے ہیں مطلب کہ جس طرح استعمال کریں گے تو وہ ملاوٹ کر دیتے ہیں بیچ میں تو اور ان کا ٹیسٹ اور جو پیکیجنگ ہو رہی ہے اج کل کسی کو بھی کھانے کا دل نہیں کرتا اس وجہ سے میں ملاوٹ اور دو نمبری کرنا اسٹارٹ کر دیا تو اس وجہ سے اس کی کھانے کا دل نہیں کرتا ہے,5,3,"[5, 28, 37, 39, 45]","[15, 36, 44]",2,"[2, 0, 2, 0, 0]","[0, 0, 1]"
17.15,74.wav,السلام علیکم میرا نام جنید ہے ایک اچھا مشروم ہے اس کو مختلف تقریبات میں رکھا جاتا ہے اس کی قیمت بھی مناسب ہے اور اگر اس کو اپ ٹھنڈا کر کے پیئیں تو اس کو پینے کا اور بھی لطفہ,0,4,[],"[3, 5, 10, 13]",1,[],"[0, 0, 0, 0]"
20.33,75.wav,اب میں اپ کو اس کے منفی رجحانات کے بارے میں بتانا چاہوں گا کہ سیون اپ جو ہے یہ بہت زیادہ اسٹرانگ ہے یہ بہت زیادہ اسٹرونگ ہے اور اس کو پینے کا نقصان زیادہ پینے کا نقصان یہ ہوتا ہے کہ اپ کی جو بونز ہیں اپ کی ان میں کیلشیم کی جو بنانے کی جو ہوتی ہے,6,0,"[2, 7, 9, 12, 12, 13]",[],2,"[0, 0, 0, 0, 0]",[]
26.94,76.wav,السلام علیکم میرا نام جنید عابد ہے میں اپ کو سیون اپ کے بارے میں بتانا چاہتا ہوں سیون اپ ایک بہت اچھا مشروب ہے یہ جو ہے بہت پسند کیا جاتا ہے میں خود بہت شوق سے اس کو پتا ہوں اور میں اکثر کو کھانے کے بعد پیتا ہوں اس کو پینے کا یہ فائدہ ہے کہ اپ کی جو کھانے کے بعد اپ کو جو بھاری پن محسوس ہوتا ہے وہ اپ کا یہ ختم کر دیتی ہے,2,4,"[23, 26]","[8, 10, 12, 19]",1,"[0, 9]","[0, 0, 0, 1]"
28.25,77.wav,السلام علیکم میرا نام جنید احمد ہے اج میں اپ کو لیس کے لیس کے بارے میں اچھی بات بتانا چاہوں گا لیز ایک بہت بڑا فرینڈ ہے اس کے مختلف فلیورز ہیں اور مختلف فلیورز کا اپنا اپنا مذا اور عوام ان کو بہت شوق سے کھاتی ہے میں خود بہت شوق سے کھاتا ہوں اور ان کی ڈیمانڈ میں پہنچ جاتا ہے,0,6,[],"[8, 14, 15, 20, 23, 26]",1,[],"[0, 1, 1, 0, 9, 0]"
28.25,78.wav,السلام علیکم میرا نام جنید احمد ہے اج میں اپ کو لیس کے لیس کے بارے میں اچھی بات بتانا چاہوں گا لیز ایک بہت بڑا فرینڈ ہے اس کے مختلف فلیورز ہیں اور مختلف فلیورز کا اپنا اپنا مذا اور عوام ان کو بہت شوق سے کھاتی ہے میں خود بہت شوق سے کھاتا ہوں اور ان کی ڈیمانڈ میں پہنچ جاتا ہے,0,6,[],"[8, 14, 15, 20, 23, 26]",1,[],"[0, 1, 1, 0, 9, 0]"
24.82,79.wav,لیز مشہور برانڈ ہے اور لوگوں کو بہت پسند ہے اس کے فلیور اور کافی الگ ہیں لیکن مجھے لگتا ہے لگتا ہے کہ کچھ اور نئے فلیور ٹرائی کرنا چاہیے بھائی کرنے کی ضرورت ہے کوئی یونیک سا ہونا چاہیے,1,5,[11],"[1, 5, 9, 18, 23]",1,[0],"[0, 0, 0, 0, 9]"
48.22,80.wav,السلام علیکم میرا نام بلال لکھویرا ہے اور اج کا موضوع خاص ہے پیپسی کی بوتل ہاں ہاں پیپسی کی بوتل تو پیپسی کی بوتل گرمیوں میں پی جائے یا پھر سردیوں میں بھی جائے اس سے کوئی فرق نہیں پڑتا لیکن اگر میں اپ سے کہوں کہ یہ اپ کو پانی سے ہمیشہ ہمیشہ کے لئے دور کر دے گا تو یہ کہنا غلط نہ ہوگا کیونکہ انسان جب ایک چیز کو بار بار کرتا ہے تو اس وہ اس کا عادی ہوجاتا ہے تو لہذا اپ اس چیز سے بچیں اس کا ذائقہ بھی صحیح نہیں ہے اور یہ بہت اس کو پینے کے بعد انسان بہت سی بیماری میں مبتلا ہو جاتا ہے تو لہذا اس چیز سے اپ پرہیزگاری اختیار کریں اور بچیں شکریہ,14,2,"[15, 16, 24, 25, 27, 31, 34, 35, 37, 42, 43, 45, 46, 48]","[37, 48]",2,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0]"
23.82,81.wav,تو اج کا ہمارا انانی خاص ہے لیز ہاں ہاں لیز تو لیز لاہور میں بنتی ہوں یا پھر اسلام اباد میں اس سے کوئی فرق نہیں پڑتا لیکن فرق تو پڑتا ہے جب ان کی قیمتیں اسمان کو چھوئیں تو اج کے زمانے میں لیز کی قیمتوں میں بے حد تک اضافہ ہو چکا ہے یہ جتنی مہنگی ہو گئی ہے کہ غریب کی پہنچ سے باہر ہوتا جا رہا ہے تو یہ بالکل نہیں سہی,7,1,"[8, 9, 16, 18, 20, 23, 24]",[16],2,"[0, 0, 0, 0, 0, 9, 0]",[0]
35.53,82.wav,السلام علیکم میرا نام بلال لکھویرا ہے اور اج کا عنوان خاص ہے پلیز ہاں ہاں لسٹ تو لیس لاہور میں بنتی ہوں اسلام اباد میں بنتی ہوں یا پھر کراچی میں بنتی ہوں اس سے کوئی فرق نہیں پڑتا فرقہ پڑتا ہے جب اپ کو پتہ چلے کہ یہ 100 فیصد حلال الو سے بنتی ہے اور اس کا بنانے کا طریقہ بھی لاجواب ہے اور یہ انتہائی لذیذہ ہوتی ہے تو لہذا اپ بھی اپنے اپنے گھروں سے نکلے اور لیز کھائیں اور اپنی زندگی کو پرجوش بنائیں شکریہ,2,3,"[15, 35]","[25, 27, 36]",1,"[0, 0]","[0, 0, 0]"
